Class,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Tracking Ratio [%],Category Group,Category Right,Index Right,Pupil Diameter Right [mm],Point of Regard Right X [px],Point of Regard Right Y [px],AOI Name Right,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z
Anxious,"612656,5",09:16:28:000,Trial001,21_nsap_f.jpg,K717,"67,2",Information,Separator,1,,,,,,,
Anxious,"612663,8",09:16:28:007,Trial001,21_nsap_f.jpg,K717,"67,2",Eye,Fixation,1,"4,9","807,6","537,3",White Space,"0,1","0,3",-1
Anxious,"612666,8",09:16:28:010,Trial001,21_nsap_f.jpg,K717,"67,2",Eye,Fixation,1,"4,9","808,1","534,9",White Space,"0,1","0,3",-1
Anxious,"612675,1",09:16:28:019,Trial001,21_nsap_f.jpg,K717,"67,2",Eye,Fixation,1,"4,8","803,8","534,4",White Space,0,"0,3",-1
Anxious,"612691,8",09:16:28:035,Trial001,21_nsap_f.jpg,K717,"67,2",Eye,Fixation,1,"4,8","803,2","534,1",White Space,"0,1","0,3",-1
Anxious,"612700,2",09:16:28:044,Trial001,21_nsap_f.jpg,K717,"67,2",Eye,Fixation,1,"4,8","801,1","531,5",White Space,0,"0,3",-1
Anxious,"612708,5",09:16:28:052,Trial001,21_nsap_f.jpg,K717,"67,2",Eye,Fixation,1,"4,8","802,2","528,2",White Space,"0,1","0,3","-0,9"
Anxious,"612716,8",09:16:28:060,Trial001,21_nsap_f.jpg,K717,"67,2",Eye,Fixation,1,"4,8","805,3","526,2",White Space,"0,1","0,3","-0,9"
Anxious,"612725,1",09:16:28:069,Trial001,21_nsap_f.jpg,K717,"67,2",Eye,Fixation,1,"4,8","803,5","524,5",White Space,0,"0,3",-1"
Anxious,"672350,4",13:22:26:068,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,"3,9","1224,2","807,7",neutral,"0,3","0,1",-1
Anxious,"672358,8",13:22:26:076,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,"3,9","1221,4","805,3",neutral,"0,3","0,1",-1
Anxious,672367,13:22:26:085,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,"3,9","1220,6","800,9",neutral,"0,3","0,2",-1
Anxious,"672375,4",13:22:26:093,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,"3,9","1219,1","807,1",neutral,"0,3","0,1",-1
Anxious,"672383,7",13:22:26:101,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,"3,9","1217,1","801,4",neutral,"0,2","0,2",-1
Anxious,"672392,1",13:22:26:110,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,"3,9","1215,6","806,7",neutral,"0,3","0,2",-1
Anxious,"672400,4",13:22:26:118,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,"3,9","1214,8","804,4",neutral,"0,3","0,1",-1
Anxious,"672408,8",13:22:26:126,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,"3,9",1216,"805,1",neutral,"0,3","0,1",-1
Anxious,"672417,1",13:22:26:135,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,"3,9","1218,1","803,5",neutral,"0,3","0,1",-1
Anxious,"672425,5",13:22:26:143,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,"3,9","1218,2","807,1",neutral,"0,3","0,2",-1
Anxious,"672433,7",13:22:26:151,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,4,"1217,7","806,2",neutral,"0,3","0,1",-1
Anxious,"672442,1",13:22:26:160,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,4,"1182,7","804,9",neutral,"0,2","0,1",-1
Anxious,"672450,5",13:22:26:168,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,4,"1171,8","813,2",neutral,"0,2","0,1",-1
Anxious,"672458,9",13:22:26:176,Trial011,1_aspn_f.jpg,K718,"91,1",Eye,Fixation,16,4,1178,"813,1",neutral,"0,2","0,1",-1
